role,atom_id,x_A,y_A,z_A,is_gb,first_neighbor_count,distance_to_nearest_gb_A,bulk_distance_rank,wagih_delta_e_kj_mol
gb_sample,27495,157.404007,14.4153996,33.2482987,1,,0.0,,18.7328911
gb_sample,90585,130.5310059,28.6837998,42.3828011,1,,0.0,,33.4513588
gb_sample,153066,188.0970001,55.0150986,142.3190003,1,,0.0,,39.5760575
gb_sample,182938,31.5016995,13.5806999,85.3527985,1,,0.0,,33.0438843
gb_sample,318964,0.330839,73.0313034,182.6170044,1,,0.0,,22.7467079
gb_sample,92874,114.4449997,15.0320997,30.0946999,1,,0.0,,26.9784012
gb_sample,294628,160.6170044,41.1411018,37.3031998,1,,0.0,,19.1555176
gb_sample,450957,174.1649933,113.6669998,161.074997,1,,0.0,,19.1062431
gb_sample,99973,171.5019989,93.9623032,168.0039978,1,,0.0,,21.8599586
gb_sample,252346,65.596901,109.7480011,169.6759949,1,,0.0,,-1.995527
gb_sample,317712,6.1872401,81.2633972,175.1450043,1,,0.0,,16.0892468
gb_sample,236436,48.1253014,144.3809967,93.7294007,1,,0.0,,23.5720673
gb_sample,2836,14.9925004,189.9320068,20.9993992,1,,0.0,,51.5485459
gb_sample,155461,155.1100006,199.1699982,47.991501,1,,0.0,,30.3485222
gb_sample,271434,134.8569946,110.6569977,163.522995,1,,0.0,,29.8229199
gb_sample,213332,189.3820038,93.9222032,149.6329956,1,,0.0,,19.128439
gb_sample,166546,132.1790009,5.3817501,106.0660019,1,,0.0,,14.1681767
gb_sample,180722,79.8595964,184.9689942,71.5435028,1,,0.0,,37.525734
gb_sample,26379,184.901001,189.5420075,122.0759964,1,,0.0,,9.902484
gb_sample,283059,54.7930985,14.1278,158.6499939,1,,0.0,,-1.4616213
gb_sample,470432,112.1330032,105.4940033,28.4179001,1,,0.0,,21.9692136
gb_sample,189786,117.1100006,2.2876699,14.3619003,1,,0.0,,-14.6333866
gb_sample,291169,86.2979965,182.4369965,168.1230011,1,,0.0,,26.7347603
gb_sample,385727,61.2713013,145.8840028,200.1430054,1,,0.0,,12.5038357
gb_sample,55325,2.89321,97.2005005,152.1430054,1,,0.0,,22.5077915
gb_sample,446253,161.2649994,180.9019928,63.4642983,1,,0.0,,17.7517605
gb_sample,211645,62.3205986,12.6751004,158.1940003,1,,0.0,,4.0672116
gb_sample,367113,142.8350067,136.0209961,46.9855996,1,,0.0,,28.8782254
gb_sample,91322,102.6679993,18.6389008,27.8167992,1,,0.0,,12.6712075
gb_sample,290739,86.6654969,182.2819977,165.1779938,1,,0.0,,-0.3544625
gb_sample,40006,142.9949952,159.2140045,0.99206,1,,0.0,,2.6043573
gb_sample,54189,66.3348007,108.0899963,175.5579987,1,,0.0,,10.8198748
gb_sample,213656,144.901001,104.651001,144.1430054,1,,0.0,,16.5095482
gb_sample,428278,157.5509949,169.7929993,107.8349991,1,,0.0,,-17.3695297
gb_sample,229771,166.2599945,45.3539009,171.6719971,1,,0.0,,-11.3748779
gb_sample,293868,169.6519928,36.8630982,45.9735986,1,,0.0,,15.1440048
gb_sample,403059,43.1148987,129.6799927,78.9589996,1,,0.0,,46.522171
gb_sample,392659,48.6809998,143.2700043,14.0932999,1,,0.0,,-1.0093292
gb_sample,376973,97.5911026,155.5729981,33.6736985,1,,0.0,,13.6687689
gb_sample,221069,179.824997,45.4933014,142.9069978,1,,0.0,,25.1408634
gb_sample,155322,146.7899933,197.3459931,62.872799,1,,0.0,,0.5560144
