atom_id,delta_e_kj_mol
961,19.6502934
962,33.7329979
964,44.7496987
965,-10.3338423
966,38.3153725
967,6.9691974
968,27.0757732
969,8.369297
970,11.1950131
974,-15.4357071
975,15.3134976
978,4.3261972
979,18.1592522
998,-0.9002382
999,11.8718472
1001,34.926281
1002,30.7780876
1003,-17.922472
1004,49.806263
1005,11.1416435
1006,-4.159874
1007,4.8540398
1008,23.1181297
1009,-3.7184029
1011,27.7351971
1012,14.4212513
1013,-7.5902744
1019,19.1508522
1040,53.3004341
1042,16.3298493
1043,15.210784
1044,2.5859149
1045,5.8914976
1046,16.4239407
1047,-19.9135686
1048,11.4874811
1049,6.5254627
1050,-6.151947
1051,-11.4735718
1052,7.3928161
1054,9.9278536
1082,14.5603304
1083,18.1861248
1085,19.8802644
1086,4.812644
1087,25.2628498
1088,18.0377255
1089,2.1766844
1090,66.3591766
1091,21.8304959
1092,13.691391
1093,9.0753336
1094,10.2707253
1095,23.3577824
1096,2.3950076
1119,25.2281799
1123,31.3614483
1125,5.535511
1126,5.515275
1127,-23.8154526
1128,12.5418082
1129,27.2390633
1130,21.3208637
1131,-0.2486884
1132,35.8166085
1133,27.9677582
1134,7.7776714
1135,5.2574101
1136,27.7015362
1137,-15.7929154
1138,14.9819366
1153,3.9742194
1156,-7.6697541
1157,2.3579667
1158,12.2731018
1160,-3.3573558
1161,-8.583458
1162,2.5606537
1163,31.7823487
1164,26.7369538
1165,22.8539906
1166,13.8689804
1167,22.42729
1168,-5.3860679
1170,5.1321192
1171,-13.7607556
1172,-4.4205103
1173,19.168932
1174,-2.9693036
1175,48.3385086
1176,-21.4105034
1177,-0.950891
1178,7.8784966
1181,24.7312374
1185,-7.3769598
1188,-4.2502179
1189,8.7765055
1191,11.9900904
1192,37.6309662
1193,-7.6247897
1194,9.0754156
1195,-11.1710939
1196,8.4440489
1197,34.5206833
1198,27.8800716
1199,11.9737216
1200,23.305212
1201,11.1736403
1202,12.9577018
1203,-2.4228847
1204,-25.9543438
1206,23.6315918
1207,45.6748657
1208,1.8382824
1210,7.6346069
1211,-22.5042763
1212,22.3332176
1213,24.3754978
1214,15.4034872
1215,19.1007347
1216,-7.9261246
1217,9.609253
1218,17.1655846
1219,-20.1654186
1220,-11.1608458
1221,30.5221424
1222,6.7517023
1223,9.713706
1224,38.589489
1225,32.4139023
1226,25.1637135
1227,20.0114746
1228,38.8003159
1229,13.6463347
1230,33.1587334
1231,-9.5415659
1232,-6.0726638
1235,16.9099828
1236,1.5491098
1237,-3.9482348
1239,6.56597
1240,-13.8043814
1241,-14.8201494
1242,36.2345619
1243,5.941321
1244,32.5671654
1245,21.5780449
1246,10.4193134
1247,20.4893685
1248,19.5195122
1249,11.5110178
1250,8.090044
1251,24.1526585
1252,8.5254488
1253,29.2701016
1254,6.7811213
1256,2.9014138
1257,-0.5369671
1258,-5.8455936
1259,-0.1909235
1261,10.979928
1262,24.1116676
1263,10.3336983
1264,19.2079926
1265,27.8947678
1267,21.785532
1268,-5.271637
1269,7.5006247
