role,atom_id,x_A,y_A,z_A,is_gb,first_neighbor_count
gb_sample,36494,46.7643813526,27.4936483478,34.581474186,1,11
gb_sample,31084,39.8163494385,11.591133604,23.0070894098,1,9
gb_sample,42553,54.5147671388,32.3789060721,9.5212663341,1,10
gb_sample,23555,30.1543830171,65.0321598592,37.4419495268,1,13
gb_sample,42770,54.7932052167,69.8244196943,56.323503508,1,13
gb_sample,66210,84.7189166182,56.1742334347,77.7188144319,1,13
gb_sample,27168,34.8104793387,64.9932026079,88.1691260667,1,6
gb_sample,27072,34.6828056413,49.2921912214,93.6101080984,1,6
gb_sample,37940,48.6394468301,65.6212985991,53.2959793056,1,13
gb_sample,5558,7.2032557257,67.7964990573,29.2164790585,1,11
gb_sample,11894,15.262276676,24.8597691505,47.1944494114,1,2
gb_sample,70270,89.9719207856,20.2577952179,37.4806483869,1,10
gb_sample,60826,77.7768774636,71.6249680521,88.8871616534,1,13
gb_sample,72033,92.2517999019,22.2027358013,66.1820479546,1,11
gb_sample,75027,96.1189235029,80.3859463455,38.8796946032,1,7
gb_sample,64524,82.5352005255,76.0285437899,87.9289446634,1,10
gb_sample,69162,88.5448962376,84.8159609165,18.3442079517,1,9
gb_sample,18387,23.5421582567,36.1921183644,33.8129289565,1,11
gb_sample,32106,41.1182872805,36.1417245811,4.1794174712,1,9
gb_sample,44560,57.0761681262,28.0490142913,23.8335233485,1,9
