atom_id,delta_e_kj_mol,pe_eV,bulk_reference_pe_eV,x_A,y_A,z_A,first_neighbor_count
36223,-0.07891814997260906,-274146.667802083,-274146.666984154,44.47584833791273,65.53262919320288,83.45556204505546,13
48053,8.160388030345457,-274146.582407692,-274146.666984154,61.882377443347245,73.35688255516882,12.906473129074648,8
37522,-0.517427290691405,-274146.67234691,-274146.666984154,45.98665399585701,39.35916121160393,77.7626902204106,13
48663,2.47861314888038,-274146.641295139,-274146.666984154,60.39573157075238,24.60367579562332,74.1260986841933,11
60999,0.6690936492514247,-274146.660049487,-274146.666984154,72.41631977683403,56.48558487974239,66.05299046917736,13
24411,1.0875936633185994,-274146.65571204,-274146.666984154,33.4079945966541,87.9605897976883,24.232701327061953,13
31149,2.080308477327296,-274146.645423276,-274146.666984154,39.01737755284318,47.97035907949525,81.1036063413739,13
60063,4.2520411478616635,-274146.622914853,-274146.666984154,74.73823322830134,53.0001413714229,20.062205316233868,11
43886,1.3660762872241416,-274146.652825771,-274146.666984154,54.30860231582799,78.13299120963823,84.15666903981727,11
74738,-2.676097679747479,-274146.694719952,-274146.666984154,94.52696416974895,55.82170874006926,50.33311154274252,13
25920,2.4345522529338703,-274146.641751798,-274146.666984154,32.960791523534176,32.44325201342759,51.32014799566014,11
67606,6.3351999909648615,-274146.601324433,-274146.666984154,82.99718488302885,57.677485435494305,57.511382505849525,11
72926,3.393914978710151,-274146.631808704,-274146.666984154,90.45391003097656,72.2057312165868,95.88786648329622,11
19793,-2.6604676333312245,-274146.694557958,-274146.666984154,24.39144885427529,84.41445945713471,73.39175215285206,13
29115,2.221221351417607,-274146.643962817,-274146.666984154,36.80555278521449,68.32465355340887,42.172170657089396,11
51870,-0.8775976752142204,-274146.676079813,-274146.666984154,63.620828851877526,39.65462036909195,74.37291352786107,13
73117,-1.9687899543184533,-274146.687389224,-274146.666984154,90.75080026039178,10.177604361459064,22.853682462903688,13
23628,-0.12391099574021831,-274146.668268401,-274146.666984154,29.681309887675557,88.29832789038797,1.5866923415812788,13
38089,0.37981846907368205,-274146.663047613,-274146.666984154,46.043880521001505,28.041829451801206,70.35540083918447,13
24717,1.3943683945079197,-274146.652532544,-274146.666984154,30.41720080736785,32.028664041527726,19.259480684470304,13
72541,4.690980903987131,-274146.618365563,-274146.666984154,89.51711128348873,73.13617638553211,81.3081974121231,10
